"Name","Short Name","Description","Types","Latitude","Longitude"
SPL10,SPL10,,"Point Count Point",38.4354092866,-123.11824597
"State Park (upper)",SPU,"Sonoma State Beach upper grassland points (east of Hwy 1)","Point Count Transect",,
SPU01,SPU01,"13-MAY-10 8:27:02AM","Point Count Point",38.4202033605,-123.101450271
SPU02,SPU02,"13-MAY-10 8:38:50AM","Point Count Point",38.4222300163,-123.10271325
SPU03,SPU03,"13-MAY-10 8:53:07AM","Point Count Point",38.4238000031,-123.100573181
SPU04,SPU04,"13-MAY-10 11:00:16AM","Point Count Point",38.4239488447,-123.095005709
SPU05,SPU05,"13-MAY-10 9:06:43AM","Point Count Point",38.4251268701,-123.098134826
SPU06,SPU06,"13-MAY-10 9:23:11AM","Point Count Point",38.4266210477,-123.100325049
SPU07,SPU07,"13-MAY-10 9:36:12AM","Point Count Point",38.4275560038,-123.102995754
SPU08,SPU08,"13-MAY-10 9:52:55AM","Point Count Point",38.4284277616,-123.105723719
SPU09,SPU09,"13-MAY-10 10:24:42AM","Point Count Point",38.4303936995,-123.104305899
SPU10,SPU10,"13-MAY-10 10:08:38AM","Point Count Point",38.4303459596,-123.10727323
"Estero Americano",ESAM,"Estero Americano grasslands","Study Area",38.31082326579,-122.99359781554
"Estero Americano",EA,,"Point Count Transect",,
EA_01,EA_01,point,"Point Count Point",38.3140011817,-122.99961792
EA_02,EA_02,point,"Point Count Point",38.3152346359,-122.996897078
EA_03,EA_03,point,"Point Count Point",38.3129837962,-122.996854039
EA_04,EA_04,point,"Point Count Point",38.310985984,-122.995489221
EA_05,EA_05,point,"Point Count Point",38.3095113591,-122.993317123
EA_06,EA_06,point,"Point Count Point",38.3067936218,-122.99127458
EA_07,EA_07,point,"Point Count Point",38.3089921228,-122.990488834
EA_08,EA_08,point,"Point Count Point",38.3099654964,-122.987707403
EA_09,EA_09,point,"Point Count Point",38.3112912399,-122.990576442
"Interior Grassland 1",JH-IG-1,"Jenner Headlands forest interior grassland #1","Area Search Plot",38.487407,-123.127041
"Interior Grassland 2",JH-IG-2,"Jenner Headlands forest interior grassland #2","Area Search Plot",38.490665,-123.123286
"Interior Grassland 3",JH-IG-3,"Jenner Headlands forest interior grassland #3","Area Search Plot",38.495905,-123.119445
"Interior Grassland 4",JH-IG-4,"Jenner Headlands forest interior grassland #4","Area Search Plot",38.499675,-123.116934
"Interior Grassland 5",JH-IG-5,"Jenner Headlands forest interior grassland #5","Area Search Plot",38.48393,-123.092558
"Interior Grassland 6",JH-IG-6,"Jenner Headlands forest interior grassland #6","Area Search Plot",38.470197,-123.066487
"Upper Russian Gulch Restoration THP",RESTTHP,polygon,"Study Area",38.481981,-123.116135
"Shaded Fuel BreakSelection II and IIISFB",Selectio,polygon,"Study Area",38.483861,-123.1041535
"Shaded Fuel BreakSelection II and IIISFB[2]",Selectio002,polygon,"Study Area",38.4845675,-123.083978
"Shaded Fuel BreakSelection II and IIISFB[3]",Selectio003,polygon,"Study Area",38.4752185,-123.1149045
"Shaded Fuel BreakSelection II and IIISFB[4]",Selectio004,polygon,"Study Area",38.478561,-123.0665295
"Shaded Fuel Breaks","SHADED F.B.",,"Study Area",,
"Coastal Grassland",COGR,"~1500 acre coastal grassland ","Study Area",,
"Interior Grasslands",JH-IG,"small grassland patches in the interior portion of the Jenner Headlands property","Study Area",,
"Western Shaded Fuel Break",WSFB,,"Point Count Transect",,
WSFB01,WSFB01,"09-MAY-13 13:54:32","Point Count Point",38.4697790646,-123.120938654
WSFB02,WSFB02,"09-MAY-13 13:57:56","Point Count Point",38.4703132539,-123.118520756
WSFB03,WSFB03,"09-MAY-13 14:00:31","Point Count Point",38.471990692,-123.117354202
WSFB04,WSFB04,"09-MAY-13 14:05:07","Point Count Point",38.473865059,-123.117517737
WSFB05,WSFB05,"09-MAY-13 14:09:28","Point Count Point",38.4756938796,-123.118162707
WSFB06,WSFB06,"10-MAY-13 7:41:36","Point Count Point",38.4771107593,-123.116193119
WSFB07,WSFB07,"09-MAY-13 14:18:53","Point Count Point",38.4785452379,-123.114624749
WSFB08,WSFB08,"09-MAY-13 14:26:21","Point Count Point",38.4804658964,-123.113527144
WSFB09,WSFB09,"09-MAY-13 14:28:10","Point Count Point",38.4810628105,-123.111326769
WSFB10,WSFB10,"09-MAY-13 15:42:08","Point Count Point",38.4813443331,-123.109045626
WSFB11,WSFB11,"09-MAY-13 15:38:00","Point Count Point",38.4819321718,-123.106822243
WSFB12,WSFB12,"09-MAY-13 15:32:25","Point Count Point",38.4822677613,-123.10444941
WSFB13,WSFB13,"09-MAY-13 15:58:05","Point Count Point",38.4836029383,-123.10289202
WSFB14,WSFB14,"09-MAY-13 16:01:47","Point Count Point",38.4852979728,-123.102034492
"Eastern Shaded Fuel Break",ESFB,,"Point Count Transect",,
ESFB01,ESFB01,"09-MAY-13 16:56:03","Point Count Point",38.4775392625,-123.062447729
ESFB02,ESFB02,"09-MAY-13 17:00:05","Point Count Point",38.4775379035,-123.064947013
ESFB03,ESFB03,"11-MAY-13 6:37:10","Point Count Point",38.4780229757,-123.067744831
ESFB04,ESFB04,"09-MAY-13 17:08:04","Point Count Point",38.4793375731,-123.069752418
ESFB05,ESFB05,"09-MAY-13 17:09:40","Point Count Point",38.4803906778,-123.071931794
ESFB06,ESFB06,"09-MAY-13 17:12:43","Point Count Point",38.4821832789,-123.07325209
ESFB07,ESFB07,"09-MAY-13 17:16:03","Point Count Point",38.4836059044,-123.075294402
ESFB08,ESFB08,"09-MAY-13 17:19:35","Point Count Point",38.4840096805,-123.078000711
ESFB09,ESFB09,"09-MAY-13 17:21:50","Point Count Point",38.4856305759,-123.079917262
ESFB10,ESFB10,"09-MAY-13 17:27:19","Point Count Point",38.4861605522,-123.082428895
ESFB11,ESFB11,"09-MAY-13 17:31:33","Point Count Point",38.4865643129,-123.084928951
ESFB12,ESFB12,"09-MAY-13 17:35:52","Point Count Point",38.4861750374,-123.087313417
