"Name","Short Name","Description","Types","Latitude","Longitude"
3B-R-68,3B-R-68,point,"Point Count Point",37.292297,-119.948578
3B-R-69,3B-R-69,point,"Point Count Point",37.292227,-119.951395
3B-H,3B-H,,"Point Count Transect",,
3B-H-01,3B-H-01,point,"Point Count Point",37.252394,-119.980987
3B-H-02,3B-H-02,point,"Point Count Point",37.250978,-119.983307
3B-H-03,3B-H-03,point,"Point Count Point",37.248901,-119.984883
3B-H-04,3B-H-04,point,"Point Count Point",37.249027,-119.988387
3B-H-05,3B-H-05,point,"Point Count Point",37.251501,-119.990219
3B-T,3B-T,,"Point Count Transect",,
3B-T-44,3B-T-44,point,"Point Count Point",37.325984,-119.952716
3B-T-45,3B-T-45,point,"Point Count Point",37.323734,-119.952627
3B-T-46,3B-T-46,point,"Point Count Point",37.326055,-119.949898
3B-T-47,3B-T-47,point,"Point Count Point",37.323804,-119.949809
3B-T-48,3B-T-48,point,"Point Count Point",37.323875,-119.946991
3B-U,3B-U,,"Point Count Transect",,
3B-U-75,3B-U-75,point,"Point Count Point",37.34117,-119.988872
3B-U-76,3B-U-76,point,"Point Count Point",37.33978,-119.991469
3B-U-77,3B-U-77,point,"Point Count Point",37.342083,-119.992979
3B-U-78,3B-U-78,point,"Point Count Point",37.344454,-119.993713
3B-U-79,3B-U-79,point,"Point Count Point",37.346308,-119.992055
3B-U-80,3B-U-80,point,"Point Count Point",37.339897,-119.994203
3B-U-81,3B-U-81,point,"Point Count Point",37.344476,-119.990294
3B-W,3B-W,,"Point Count Transect",,
3B-W-10,3B-W-10,point,"Point Count Point",37.269722,-119.950515
3B-W-11,3B-W-11,point,"Point Count Point",37.271285,-119.948488
3B-W-06,3B-W-06,point,"Point Count Point",37.26271,-119.955365
3B-W-07,3B-W-07,point,"Point Count Point",37.265151,-119.953155
3B-W-08,3B-W-08,point,"Point Count Point",37.267401,-119.953243
3B-W-09,3B-W-09,point,"Point Count Point",37.269652,-119.953331
MAR-13-11,MAR-13-11,,"Study Area",37.473079,-120.0012255
LONG,LONG,,"Point Count Transect",,
LONG-01,LONG-01,point,"Point Count Point",37.447788,-119.993094
LONG-10,LONG-10,point,"Point Count Point",37.46224,-119.984022
LONG-11,LONG-11,point,"Point Count Point",37.464468,-119.983879
LONG-12,LONG-12,point,"Point Count Point",37.466594,-119.984798
LONG-13,LONG-13,point,"Point Count Point",37.468743,-119.984057
LONG-14,LONG-14,point,"Point Count Point",37.470922,-119.983144
LONG-02,LONG-02,point,"Point Count Point",37.449922,-119.99413
LONG-03,LONG-03,point,"Point Count Point",37.452161,-119.994397
LONG-04,LONG-04,point,"Point Count Point",37.454457,-119.99447
LONG-05,LONG-05,point,"Point Count Point",37.456717,-119.994754
LONG-06,LONG-06,point,"Point Count Point",37.453434,-119.984762
LONG-07,LONG-07,point,"Point Count Point",37.455592,-119.985824
LONG-08,LONG-08,point,"Point Count Point",37.457831,-119.985285
LONG-09,LONG-09,point,"Point Count Point",37.460033,-119.984685
MAR-13-03,MAR-13-03,,"Study Area",37.541451,-119.85884
CVAL,CVAL,,"Point Count Transect",,
CVAL-77,CVAL-77,point,"Point Count Point",37.551661,-119.865609
CVAL-78,CVAL-78,point,"Point Count Point",37.549469,-119.866045
CVAL-79,CVAL-79,point,"Point Count Point",37.547199,-119.865679
CVAL-80,CVAL-80,point,"Point Count Point",37.545113,-119.865068
CVAL-81,CVAL-81,point,"Point Count Point",37.542841,-119.864073
CVAL-82,CVAL-82,point,"Point Count Point",37.540706,-119.863181
CVAL-83,CVAL-83,point,"Point Count Point",37.538955,-119.861358
CVAL-84,CVAL-84,point,"Point Count Point",37.536838,-119.860004
CVAL-85,CVAL-85,point,"Point Count Point",37.536185,-119.85734
CVAL-86,CVAL-86,point,"Point Count Point",37.548834,-119.872514
CVAL-87,CVAL-87,point,"Point Count Point",37.54701,-119.870813
CVAL-88,CVAL-88,point,"Point Count Point",37.545061,-119.869493
CVAL-89,CVAL-89,point,"Point Count Point",37.543499,-119.867928
CVAL-90,CVAL-90,point,"Point Count Point",37.541627,-119.865624
"Welch Ranch [study area]",WELC,polygon,"Study Area",37.7432757928,-119.989346411
"Strawbarn Pond",STRAW,polygon,"Area Search Plot",37.3275222902,-119.974030064
"LONG Riparian 1",LONG_R1,polygon,"Area Search Plot",37.4513311828445,-119.98368477204376
"Area H","Area H",polygon,"Area Search Plot",37.483641510300515,-119.85102703885154
Butte,BUT,,"Study Area",,
ELD-15-01,ELD-15-01,,"Study Area",,
FOWE,FOWE,"west side of Hwy 49","Point Count Transect",,
FOEA,FOEA,"east side of Hwy 49","Point Count Transect",,
ELD-14-01,ELD-14-01,,"Study Area",,
ELD-14-02,ELD-14-02,,"Study Area",,
NEV-15-01,NEV-15-01,polygon,"Study Area",39.109014099076,-121.149383
MCPR-26,MCPR-26,point,"Point Count Point",37.01658570079,-119.60073549524
MCPR-27,MCPR-27,point,"Point Count Point",37.018836973824,-119.60081227393
MCPR-28,MCPR-28,point,"Point Count Point",37.01895998077,-119.59519718711
MCPR-29,MCPR-29,point,"Point Count Point",37.019021384745,-119.59238963092
MCPR-30,MCPR-30,point,"Point Count Point",37.020964963581,-119.60650427918
BUT-14-02,BUT-14-02,"Annual grassland, oak woodland and savannah, mine tailings and riparian corridor; season long rotational cow calf operation","Study Area",39.396048930823255,-121.5271644211764
GRUP,GRUP,point,"Point Count Transect",39.390661,-121.555717
GRUP-E1,GRUP-E1,point,"Point Count Point",39.390186,-121.517988
GRUP-E2,GRUP-E2,point,"Point Count Point",39.39,-121.503477
